"x","y","fips"
1632029.35729725,-566133.64496036,"54"
1814194.37926364,-1715261.98062829,"12"
900364.93360164,-475980.76413843,"17"
417019.62950176,240874.79786973,"27"
2000553.00728537,-355011.69108562,"24"
2315073.39416433,27939.6644815,"44"
-1186124.16773976,-50266.96213192,"16"
2237338.44021254,199223.92075966,"33"
1943900.21889255,-818220.71132344,"37"
2117673.93561506,312773.86499864,"50"
2203509.1021465,-12451.98736418,"09"
2101736.61812518,-381934.03216213,"10"
-555630.64825876,-1145993.83078788,"35"
-1688705.77339316,-812881.48327306,"06"
2112596.24909809,-285598.90287458,"34"
861269.20470794,-48608.35480271,"55"
-1582648.03228125,69639.90960654,"41"
21136.72322197,-389009.73768925,"31"
1891379.84081672,-194902.0518714,"42"
-1566914.05207136,470633.57580572,"53"
697189.4963514,-1415239.87347226,"22"
1588144.73827162,-1268523.79406792,"13"
1245403.03674873,-1298516.61674515,"01"
-995227.83550165,-595769.75315006,"49"
1434351.23671297,-374476.11594539,"39"
188496.1916707,-1562212.48074889,"48"
-479658.18713692,-650980.1804116,"08"
1795379.4627905,-1046322.69430858,"45"
324804.55189374,-1053533.07329747,"40"
1223737.18487382,-921028.78492345,"47"
-621132.52052719,-193027.78908887,"56"
-35895.19938407,275096.76035055,"38"
1359534.38171234,-684068.21172952,"21"
2350340.13681643,468923.69497235,"23"
1978859.55665619,109130.48637023,"36"
-1433893.39537334,-429274.47350423,"32"
1225268.04855457,-30272.02516393,"26"
677551.95837059,-1085669.65097798,"05"
961486.0022796,-1245128.26833466,"28"
654373.54606708,-731159.71860862,"29"
-816316.23195756,277224.59199222,"30"
146596.6218713,-720189.18585343,"20"
1175217.35769886,-476980.71772617,"18"
-130704.50365854,-57564.85834666,"46"
2307565.26152121,119155.8341646,"25"
1887703.95921255,-571593.95440086,"51"
1962575.28189472,-403735.04384657,"11"
516345.12728002,-309487.52760442,"19"
-1073411.45218294,-1164197.60931571,"04"
-1225957.27495399,-1803413.79899208,"02"
-309900.48571578,-1875589.00169985,"15"
1455170.20555977,-2273833.56164582,"72"
